Date,Transport routier,Pavillon français(1),    International et transit(4),    Cabotage,Transport ferroviaire(5),    National,    International - échange,    Transit,Transport fluvial(6),    National,    International – échange,    Transit,Oléoducs ,Ensemble,National,International et transit,Pdiesel,Qdieselvu,GDP,CPI,Ind_Prix_Transport,
1984,125.883261763853,114.685784719844,11.1974770440097,0,57.749,34.639,17.38,5.73,7.954,4.955,2.999,0,25.859,217.445261763853,145.267119014767,46.3191427490867,0.573,8027.04,707030000000,57.9016285699203,54.44,
1985,128.417738763818,116.399312824031,12.018425939786,0,56.059,34.229,16.28,5.55,7.589,4.506,3.083,0,24.142,216.207738763818,145.921877460806,46.1438613030112,0.604,8332.88012695313,757689000000,61.2779302820743,57.94,
1986,134.59800392918,121.417397973646,13.1806059555341,0,52.686,32.896,14.3,5.49,6.993,4.12,2.873,0,26.977,221.25400392918,148.692849739707,45.5841541894729,0.517,8727,814596000000,62.8334864241848,59.28,
1987,144.515001593776,130.158920903534,14.3560806902422,0,52.707,33.057,13.98,5.67,6.686,3.877,2.809,0,25.255,229.163001593776,156.178187701451,47.7298138923243,0.502,9245,855983000000,64.9000158369846,57.84,
1988,161.109348551451,145.263151444449,15.8461971070021,0,52.946,32.516,14.8,5.63,6.644,3.692,2.952,0,29.284,249.983348551451,168.053039067578,52.6463094838736,0.488,10504,925215000000,66.65284537824,51.39,
1989,168.637945959847,151.733710802283,16.9042351575641,0,53.712,32.322,15.71,5.68,6.752,3.919,2.833,0,22.969,252.070945959847,173.555246755496,55.5466992043514,0.515,11486,997121000000,68.9845633391402,50.65,
1990,195.715719498014,157.673876900218,38.0418425977959,0,52.24,31.52,15.01,5.71,7.164,4.266,2.898,0,19.609,274.728719498014,173.503844064218,82.9161754337959,0.541,13383,1053546000000,71.1881257808513,48.62,
1991,201.086547261916,161.368350694221,39.7181965676947,0,52.430011,31.700011,14.86,5.87,6.834,4.304,2.53,0,22.501,282.851558261916,177.284017431222,84.6469408306947,0.546,13634,1091705000000,73.4756902285804,49.36,
1992,206.658338315894,165.416338315894,41.242,0,51.180591,30.310591,14.59,6.28,6.911,4.255,2.656,0,23.381,288.130929315894,178.343160689894,88.090868626,0.527,14084,1130983000000,75.2124795438948,50.5,
1993,202.582492823085,159.741492823085,42.841,0,45.582509,26.662509,12.93,5.99,5.95,3.477,2.473,0,23.312,277.427001823085,169.683248270085,86.091053553,0.559,14309,1142119000000,76.7952981752274,48.67,
1994,217.722311057381,168.54877555765,49.1735354997316,0,48.871258,27.431258,14.15,7.29,5.593,3.146,2.447,0,22.187,294.373569057381,177.04750306365,96.6892659937316,0.588,14526,1179867000000,78.0666561086769,49.66,
1995,232.902005978338,181.108227366817,51.7937786115208,0,48.266068,26.326068,14.41,7.53,5.865,3.15,2.715,0,22.275,309.308073978338,187.418202040817,101.214871937521,0.587,14802,1218273000000,79.4691090816308,50.68,
1996,237.471330909497,180.837244585202,56.6340863242954,0,50.113,26.713,14.71,8.69,5.744,3.199,2.545,0,21.909,315.237330909497,189.082842777202,105.322488132295,0.652,14739,1252266000000,81.0448890531243,51.49,
1997,246.953993789967,183.930094110774,63.0238996791937,0,54.246,28.013,16.009,10.224,5.681820782,3.146951266,2.534869516,0,22.089,328.970814571967,192.893824889118,114.915769195194,0.677,15361,1292777000000,82.0206232733287,52.84,
1998,257.64902268944,189.778846257023,67.8701764324173,0,54.099525,27.512408962,17.067116038,9.52,6.206616008,3.452241879,2.754374129,0,21.582,339.53716369744,198.416900672811,120.339666599417,0.643,16308,1351896000000,82.5546815886255,53.66,
1999,266.698476526871,200.828388827102,64.2270206997692,1.643067,54.53801500294,28.51350511994,16.834509883,9.19,6.829156808,4.105854053,2.723302755,0,21.322,349.387648337811,211.471815000042,117.520833337769,0.689,17212,1400999000000,82.998117158493,55.44,
2000,276.817327376181,203.026419437163,71.5494419390187,2.241466,57.725754642224,29.898441815224,18.491788827,9.335524,7.260488731,4.140940813,3.119547918,0,21.669,363.472570749405,218.103268065387,124.243302684019,0.846,17562,1478585000000,84.3891323092083,58.71,
2001,290.449465766252,208.511718811534,79.1455929547174,2.792154,51.718302252257,26.513842374257,16.993365446,8.211094432,6.715721634,4.017965549,2.697756085,0,22.14,371.023489652509,221.468680734791,127.924808917717,0.8,17482,1538200000000,85.768709637685,59.09,
2002,293.404660647307,208.719714788194,81.2366098591125,3.448336,51.288192553031,26.460684553031,16.968563,7.858945,6.939391065,4.272847624,2.666543441,0,20.954,372.586244265338,224.264582965225,127.871661300112,0.77,17870,1587829000000,87.4183955374896,68.52,
2003,297.016783510732,209.855882657899,83.3783298528334,3.782571,48.057268754624,25.160975754624,15.757773,7.13852,6.88939115,4.412570724,2.476820426,0,22.147,374.110443415356,225.143000136523,127.174443278833,0.79,17744,1630666000000,89.2528462580725,71.18,
2004,314.932687215076,218.459724345628,91.660209767648,4.8127531018,46.348370260433,24.3316992092362,15.5560860511968,6.460585,7.314195834,4.491875107,2.822320727,0,20.559,389.154253309509,233.928051763664,135.047201545845,0.88,18270,1704019000000,91.1647222368861,75.83,
2005,314.769890644138,214.497392486467,95.4168789827715,4.8556191749,40.701180450133,21.6392636064142,13.8915848437188,5.170332,7.85576296,4.923550474,2.932212486,0,20.856,384.182834054271,230.208825741781,133.39200831249,1.03,18421,1765905000000,92.7563391930176,74.93,
2006,328.310539523446,220.577897943709,102.951406579737,4.781235,41.178920252945,24.5686349163532,12.1623829941448,4.44790234244702,7.95046485,5.066398195,2.884066655,0,22.199,399.638924626391,238.996166055063,138.725878120329,1.07,18800,1848151000000,94.3101233525136,80.29,
2007,340.865174273414,229.192874572858,106.646486700557,5.025813,42.6118598758936,25.1921085037706,12.664454926516,4.75529644560694,7.544402215,4.758998607,2.785403608,0,21.141,412.162436364308,248.652794683628,142.64864168068,1.09,18670,1941360000000,95.7134561579475,79.87,
2008,327.453616289639,217.549867325421,104.400881964218,5.502867,40.4361290852622,26.0631800431811,10.890411700578,3.482537341503,7.503716899,4.746224118,2.757492781,0,20.918,396.311462273901,240.277138486602,135.302323787299,1.27,18281,1992380000000,98.4057435464287,81.15,
2009,284.486543985558,186.986123959149,91.2924557169486,6.20796430946,32.1291690572275,22.5713881140125,7.16542389210507,2.39235705111,7.422780941,4.913322972,2.509457969,0,19.481424364,343.519918347786,210.681799354622,113.520694629164,1,17772,1936422000000,98.4919671294585,78.4,
2010,301.085082316044,196.347913909189,98.3711684068554,6.366,29.9647515529957,22.5702154609929,5.6810803423025,1.71345574970032,8.059607672,5.248175888,2.811431784,0,17.607453722,356.71689526304,220.501305258182,118.729642382858,1.15,18086,1995289000000,100,81.22,
2011,301.952068861463,200.472423843009,95.3286450184539,6.151,34.201586813471,25.3610184321375,6.621661792169,2.21890658916443,8.926484929,5.276392488,2.809276567,0.840815874,17.2066840746,362.286824678534,227.531834763147,117.648305840787,1.335,18414,2058369000000,102.11159795175,83.11,
2012,288.284247392162,188.282163170162,93.602084222,6.4,32.538903,22.061509,7.360552,3.116842,8.981092454,5.238371759,2.857723855,0.88499684,15.1513085428,342.579586419994,212.601043929162,117.303198917,1.396,18452,2088804000000,104.107058016154,79.92,
2013,291.947295350815,188.018076150815,96.6292192,7.3,32.2301126139986,20.2887894479689,8.62252361010751,3.31879955592219,9.081556435,5.208940651,2.935019586,0.937596198,11.5207237418,341.450337355064,211.416866249784,121.94309815003,1.35,18518,2117189000000,105.006246810607,77.02,
2014,264.609455106383,158.58185,98.327605106383,7.7,32.5963124998816,20.1369627273849,9.24191527290657,3.21743449959006,8.769579249,5.070415503,2.924992647,0.774171099,11.054919406,317.030266261265,182.840378230385,123.30443862488,1.285,18563,2149765000000,105.539425293424,82.44,
2015,260.208248259575,150.473194,101.277433259574,8.457621,36.328056893,21.46152543,10.307836149,4.558695314,8.48375341,4.782618964,2.84190877,0.859225676,11.44255405604,316.462859208615,177.13458643,127.885718722574,1.149,18620,2198432000000,105.579017755019,85.01,
2016,268.933501230649,152.118882,106.926254230649,9.888365,34.713736,20.496881,9.23942,4.977435,8.309735744,4.245665501,2.760990714,1.303079529,11.37304163828,323.330278868929,179.423996,132.533241230649,1.105,18679,2234129000000,105.772580900596,80.58,
2017,285.091189731873,161.84017,111.646169731873,11.60485,35.480982,20.839399,9.857258,4.784325,7.515207922,4.101079539,2.818189487,0.595938896,11.972708157,340.059879888873,191.102729,136.984442731873,1.232,19126,2297242000000,106.864453008147,83.87,
2018,286.162905987215,163.868359,111.173796987215,11.12075,33.849726,20.057005,9.551854,4.240867,7.255286009,4.377057689,2.482130608,0.396097712,12.448928791,339.716560778215,192.379625,134.888006987215,1.437,19185.6,2363306000000,108.842316422953,85.23,
2019,296.787581103658,167.954568,116.248603103658,12.58441,33.90871,19.8979,9.591317,4.419493,7.996455583,4.784225518,2.721484563,0.490745502,12.1620504860377,350.854341589696,198.69101,140.001281103658,1.44,18759.72,2437635000000,110.04856675289,86.2,
2020,286.974526169451,162.210982,112.295504169451,12.46804,31.29656,18.226803,9.306118,3.763639,6.98771704,4.404181366,2.24629305,0.337242624,9.51385053560144,334.771936705052,190.915073,134.343013169451,1.259,17178,2317832000000,110.572946910908,80.15,
2021,296.169413969231,168.14661,114.860887929261,13.16191603997,35.769721,21.289637,10.239581,4.240503,7.265469775,4.694411176,2.282655417,0.288403182,9.76315077274669,348.967285741978,200.54952303997,138.654611929261,1.43,18110.4,2502118000000,112.388921149413,99.51,
2022,296.170816825322,168.3906722,115.999623961267,11.7805206640552,35.281856,20.947428,10.164256,4.170172,6.593271694,4.111463736,2.226728745,0.255079213,10.6033759431361,348.649048768459,197.868948664055,140.176724161267,1.86,18655.56,2639092000000,118.258283622798,112.66,22316339449.1482
